date,rocket_name,launch_site,orbit,payload_mass,satellite_name,outcome
2019-08-08,Atlas 5,Cape Canaveral,GEO,6169.0,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",Success
2020-03-26,Atlas 5,Cape Canaveral,GEO,6169.0,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",Success
2012-05-03,Atlas 5,Cape Canaveral,GEO,6169.0,"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",Failure
2012-09-13,Atlas 5,Vandenberg AFB,LEO,3.0,Aeneas,Success
2018-08-22,Vega,Guiana Space Center,LEO,1367.0,Aeolus,Success
2018-12-17,Electron,Rocket Lab Launch Complex 1,LEO,4.0,Aerocube 11A (TOMSat Eagle Scout),Success
2018-12-17,Electron,Rocket Lab Launch Complex 1,LEO,4.0,Aerocube 11B (TOMSat R3),Success
2018-07-16,Nanorack Deployer,Cygnus,LEO,4.0,Aerocube 12A,Success
2018-07-16,Nanorack Deployer,Cygnus,LEO,4.0,Aerocube 12B,Success
2020-01-31,Nanorack Deployer,Cygnus,LEO,,Aerocube 14A,Success
2020-01-31,Nanorack Deployer,Cygnus,LEO,,Aerocube 14B,Success
2020-01-31,Nanorack Deployer,Cygnus,LEO,,Aerocube 15A,Success
2015-10-08,Atlas 5,Vandenberg AFB,LEO,1.5,Aerocube 5C,Success
2014-06-19,Dnepr,Dombarovsky Air Base,LEO,5.0,Aerocube 6A,Success
2014-06-19,Dnepr,Dombarovsky Air Base,LEO,5.0,Aerocube 6B,Success
2015-10-08,Atlas 5,Vandenberg AFB,LEO,2.0,Aerocube 7A,Failure
2016-11-11,Atlas 5,Vandenberg AFB,LEO,5.0,Aerocube 8C,Failure
2016-11-11,Atlas 5,Vandenberg AFB,LEO,2.0,Aerocube 8D,Success
2008-12-20,Ariane 5,Guiana Space Center,GEO,3460.0,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Success
2021-04-29,Vega W18,Guiana Space Center,LEO,9.0,AII-Bravo,Success
2021-01-24,Falcon 9,Cape Canaveral,LEO,9.0,AII-Charlie,Success
2007-04-25,Pegasus XL,Vandenberg AFB,LEO,215.0,AIM (Aeronomy of Ice in Mesosphere),Success
2010-07-12,PSLV,Satish Dhawan Space Centre,LEO,6.0,AISSat-1 (Automatic Identification System Satellite-1),Success
2014-07-08,Soyuz-2.1b,Baikonur Cosmodrome,LEO,6.0,AISSat-2 (Automatic Identification System Satellite-2),Success
2018-12-03,Falcon 9,Vandenberg AFB,LEO,2.6,AISTechSat-2,Success
2019-04-01,PSLV,Satish Dhawan Space Centre,LEO,2.3,AISTechSat-3,Success
2018-01-25,Ariane 5,Guiana Space Center,GEO,3795.0,Al Yah-3,Success
2018-12-03,Falcon 9,Vandenberg AFB,LEO,4.0,Al-Farabi-2,Success
2017-12-10,Long March 3B,Xichang Satellite Launch Center,GEO,5225.0,Alcomsat (Algerian Communications Satellite),Success
2019-12-06,Electron,Rocket Lab Launch Complex 1,LEO,75.0,ALE-2 (Astro Live Experiences-2),Success
2022-04-01,Falcon 9,Cape Canaveral,LEO,1.0,Alfa Crux,Success
2013-12-06,Atlas 5,Vandenberg AFB,LEO,5.0,ALiCE  (AFIT LEO iMESA CNT E),Success
2016-09-26,PSLV,Satish Dhawan Space Centre,LEO,103.0,Alsat-1B,Success
2016-09-26,PSLV,Satish Dhawan Space Centre,LEO,10.0,Alsat-1N,Success
2010-07-12,PSLV,Satish Dhawan Space Centre,LEO,130.0,Alsat-2A (Algeria Satellite 2A),Success
2016-09-26,PSLV,Satish Dhawan Space Centre,LEO,117.0,Alsat-2B,Success
2009-10-01,Ariane 5,Guiana Space Center,GEO,5465.0,Amazonas-2,Success
2013-02-07,Ariane 5 ECA,Guiana Space Center,GEO,6265.0,Amazonas-3,Success
2014-03-22,Ariane 5 ECA,Guiana Space Center,GEO,2938.0,Amazonas-4A,Success
2017-09-12,Proton,Baikonur Cosmodrome,GEO,5900.0,Amazonas-5,Failure
2023-02-07,Falcon 9,Cape Canaveral,GEO,4000.0,Amazonas-Nexus,Success
2021-02-28,PSLV,Satish Dhawan Space Centre,LEO,637.0,Amazonia-1 (SSR-1),Success
2004-05-19,Atlas 2AS,Cape Canaveral,GEO,2340.0,"AMC-11 (Americom-11, GE 11)",Success
2004-10-14,Proton M,Baikonur Cosmodrome,GEO,4200.0,AMC-15 (Americom-15),Success
2006-12-08,Ariane 5,Guiana Space Center,GEO,2081.0,AMC-18 (Americom 18),Success
2008-08-14,Ariane 5 ECA,Guiana Space Center,GEO,2500.0,AMC-21 (Americom 21),Success
2000-10-22,Proton K,Baikonur Cosmodrome,GEO,3901.0,"AMC-6 (Americom-6, GE-6)",Success
2019-07-05,Soyuz-2.1b,Vostochny Cosmodrome,LEO,4.0,AmGU-1 (AmurSat-1),Success
2019-08-06,Falcon 9,Cape Canaveral,GEO,6500.0,Amos 17,Success
2008-04-28,Zenit 3SLB,Baikonur Cosmodrome,GEO,,Amos 3,Success
2013-08-31,Zenit 2SB,Baikonur Cosmodrome,GEO,,Amos 4,Success
1974-11-15,Delta 2310,Vandenberg AFB,LEO,29.0,Amsat-Oscar 7 (AO-7),Success
2020-07-20,Falcon 9,Cape Canaveral,GEO,,"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",Success
2020-06-13,Electron,Rocket Lab Launch Complex 1,LEO,9.0,ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),Failure
2019-12-18,Soyuz,Guiana Space Center,LEO,18.0,ANGELS (Argos Neo on a Generic Economical and Light Satellite),Success
2022-10-12,Proton,Baikonur Cosmodrome,LEO,2150.0,Angosat-2,Success
2000-11-21,Ariane 44L,Guiana Space Center,GEO,4710.0,Anik F1 ,Success
2005-09-09,Proton M,Baikonur Cosmodrome,GEO,4500.0,Anik F1R,Failure
2004-07-18,Ariane 5,Guiana Space Center,GEO,5910.0,Anik F2 ,Failure
2007-04-09,Proton M,Baikonur Cosmodrome,GEO,4715.0,Anik F3,Success
2013-04-15,Proton M,Baikonur Cosmodrome,GEO,4905.0,Anik G1,Success
2004-06-29,Dnepr,Baikonur Cosmodrome,LEO,12.0,AprizeSat 1 (LatinSat-C),Success
2014-06-19,Dnepr,Dombarovsky Air Base,LEO,12.0,AprizeSat 10 (exactView-13),Success
2004-06-29,Dnepr,Baikonur Cosmodrome,LEO,12.0,AprizeSat 2 (LatinSat-D),Success
2009-07-29,Dnepr,Baikonur Cosmodrome,LEO,12.0,AprizeSat 3 ,Failure
2009-07-29,Dnepr,Baikonur Cosmodrome,LEO,12.0,AprizeSat 4 ,Success
2011-08-17,Dnepr,Dombarovsky Air Base,LEO,12.0,AprizeSat 5,Failure
2013-11-21,Dnepr,Dombarovsky Air Base,LEO,12.0,AprizeSat 7,Success
2013-11-21,Dnepr,Dombarovsky Air Base,LEO,12.0,AprizeSat 8 (exactView-12),Success
2014-06-19,Dnepr,Dombarovsky Air Base,LEO,12.0,AprizeSat 9 (exactView-11),Success
2018-05-03,Long March 3B,Xichang Satellite Launch Center,GEO,,Apstar 6C,Success
2020-07-09,Long March 3B,Xichang Satellite Launch Center,GEO,5550.0,Apstar 6D,Success
2023-01-12,Long March 3B,Xichang Satellite Launch Center,GEO,4300.0,Apstar 6E,Success
2012-03-31,Long March 3B,Xichang Satellite Launch Center,GEO,5054.0,Apstar 7,Success
2015-10-16,Long March 3B,Xichang Satellite Launch Center,GEO,5200.0,Apstar 9,Success
2011-09-21,Ariane 5 ECA,Guiana Space Center,GEO,4630.0,Arabsat 5C,Success
2019-04-11,Falcon Heavy,Cape Canaveral,GEO,6465.0,Arabsat 6A,Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,1.0,ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,1.0,ARCE 1B (Articulated Reconnaissance and Communications Expedition-1),Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,1.0,ARCE 1C (Articulated Reconnaissance and Communications Expedition-1),Success
2022-04-01,Falcon 9,Cape Canaveral,LEO,10.0,ARCSAT ,Success
2021-11-08,H2A,Uchinoura Space Center,LEO,1.0,ARICA,Success
2021-02-28,Soyuz-2.1b,Baikonur Cosmodrome,Elliptical,2200.0,Arktika-M1,Success
2018-01-11,PSLV,Satish Dhawan Space Centre,LEO,10.0,Arkyd-6A,Success
2014-10-16,Ariane 5 ECA,Guiana Space Center,GEO,3000.0,ArSat 1,Success
2015-09-30,Ariane 5 ECA,Guiana Space Center,GEO,2977.0,ArSat 2,Success
2021-06-30,Falcon 9,Cape Canaveral,LEO,20.0,Arthur,Failure
2021-01-24,Falcon 9,Cape Canaveral,LEO,5.0,ASELSAT,Success
2009-08-11,Breeze M,Baikonur Cosmodrome,GEO,3760.0,AsiaSat-5,Success
2014-09-07,Falcon 9,Cape Canaveral,GEO,3700.0,AsiaSat-6 (Thaicom-7),Success
2011-11-25,Proton M,Baikonur Cosmodrome,GEO,3813.0,AsiaSat-7,Success
2014-08-05,Falcon 9,Cape Canaveral,GEO,4500.0,AsiaSat-8,Failure
2017-09-28,Proton,Baikonur Cosmodrome,GEO,6140.0,AsiaSat-9,Success
2000-03-21,Ariane 5G,Guiana Space Center,GEO,2775.0,AsiaStar ,Failure
2014-11-06,Dnepr,Dombarovsky Air Base,LEO,500.0,ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Success
2018-01-17,Epsilon,Uchinoura Space Center,LEO,570.0,ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Success
2021-11-08,H2A,Uchinoura Space Center,LEO,4.0,ASTERISC (Asutarisuku),Success
1997-12-02,Proton K,Baikonur Cosmodrome,GEO,3379.0,Astra 1G ,Success
2006-04-20,Atlas 5,Cape Canaveral,GEO,4332.0,Astra 1KR,Success
2007-05-04,Ariane 5 ECA,Guiana Space Center,GEO,4500.0,Astra 1L,Success
2008-11-05,Proton M,Baikonur Cosmodrome,GEO,5345.0,Astra 1M,Success
2011-08-06,Ariane 5 ECA,Guiana Space Center,GEO,5350.0,Astra 1N,Success
1998-08-30,Proton K,Baikonur Cosmodrome,GEO,3635.0,Astra 2A ,Failure
2001-06-16,Proton K,Baikonur Cosmodrome,GEO,3643.0,Astra 2C ,Failure
2000-12-19,Ariane 5G,Guiana Space Center,GEO,1420.0,Astra 2D,Success
2013-09-29,Proton M,Baikonur Cosmodrome,GEO,6052.0,Astra 2E (Eutelsat 28E),Success
2012-09-28,Ariane 5 ECA,Guiana Space Center,GEO,6000.0,Astra 2F (Eutelsat 28F),Success
2014-12-27,Proton M,Baikonur Cosmodrome,GEO,6000.0,Astra 2G (Eutelsat 28G),Success
2002-03-29,Ariane 44L,Guiana Space Center,GEO,1500.0,Astra 3A ,Success
2010-05-21,Ariane 5 ECA,Guiana Space Center,GEO,5471.0,Astra 3B,Success
2014-03-22,Ariane 5 ECA,Guiana Space Center,GEO,5724.0,Astra 5B,Failure
2018-01-11,PSLV,Satish Dhawan Space Centre,LEO,,Astranis Demosat-2,Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,4.0,Astrocast-0101,Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,4.0,Astrocast-0102 ,Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,4.0,Astrocast-0103 ,Success
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,4.0,Astrocast-0104 ,Failure
2021-01-24,Falcon 9/Sherpa FX,Cape Canaveral,LEO,4.0,Astrocast-0105 ,Success
2021-06-30,Falcon 9,Cape Canaveral,LEO,4.0,Astrocast-0201 ,Success
2021-06-30,Falcon 9,Cape Canaveral,LEO,4.0,Astrocast-0202   ,Success
2021-06-30,Falcon 9,Cape Canaveral,LEO,4.0,Astrocast-0203,Success
2021-06-30,Falcon 9,Cape Canaveral,LEO,4.0,Astrocast-0204 ,Failure
2021-06-30,Falcon 9,Cape Canaveral,LEO,4.0,Astrocast-0205 ,Success
2015-09-28,PSLV C-30,Satish Dhawan Space Centre,LEO,230.0,Astrosat,Success
2019-06-20,Ariane 5,Guiana Space Center,GEO,6350.0,AT&T T16,Success
2020-09-02,Vega,Guiana Space Center,LEO,138.0,Athena,Success
2014-02-06,Ariane 5 ECA,Guiana Space Center,GEO,3080.0,Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),Success
2015-12-16,PSLV-C29,Satish Dhawan Space Centre,LEO,6.0,Athenoxat-1 (Athene Noctua Experimental Satellite) ,Success
2013-02-07,Ariane 5 ECA,Guiana Space Center,GEO,3250.0,Azerspace 1/Africasat-1a,Success
2018-09-25,Ariane 5 ECA,Guiana Space Center,GEO,3500.0,Azerspace 2/Intelsat-38,Success
2006-11-08,Proton M,Baikonur Cosmodrome,GEO,3304.0,Badr 4 (Arabsat 4B),Success
2010-06-03,Proton,Baikonur Cosmodrome,GEO,5420.0,Badr 5 (Arabsat 5B),Success
2010-06-26,Ariane 5 ECA,Guiana Space Center,GEO,4940.0,Badr 5A (Arabsat 5A),Success
2008-07-07,Ariane 5 ECA,Guiana Space Center,GEO,3400.0,Badr 6 (Arabsat 4AR),Success
2015-11-10,Ariane 5,Guiana Space Center,GEO,5500.0,Badr 7 (Arabsat 6B),Success
2018-05-11,Falcon 9,Cape Canaveral,GEO,3500.0,Bangabandhu 1 ,Success
2021-12-06,Ceres 1,Jiuquan Satellite Launch Center,LEO,20.0,Baoyun,Success
2015-02-27,Soyuz-2.1b,Plesetsk Cosmodrome,LEO,4000.0,BARS-M (Cosmos 2503),Failure
2016-03-24,Soyuz-2.1a,Plesetsk Cosmodrome,LEO,4000.0,BARS-M (Cosmos 2515),Failure
2022-05-19,Soyuz-2.1a,Plesetsk Cosmodrome,LEO,3700.0,BARS-M3 (Cosmos 2556),Success
2023-03-23,Soyuz-2.1a,Plesetsk Cosmodrome,LEO,3700.0,BARS-M4 (Cosmos 2567),Success
2023-04-02,Falcon 9,Vandenberg AFB,LEO,300.0,BB-1,Success
2023-04-02,Falcon 9,Vandenberg AFB,LEO,300.0,BB-2,Success
2022-04-01,Falcon 9,Cape Canaveral,LEO,1.0,BDSAT (CZE-BDSAT),Success
2023-01-03,Falcon 9,Cape Canaveral,LEO,2.0,BDSAT-2,Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,1.0,Beesat-5 (Berlin Experimental and Educational Satellite-5),Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,1.0,Beesat-6 (Berlin Experimental and Educational Satellite-6),Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,1.0,Beesat-7 (Berlin Experimental and Educational Satellite-7),Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,1.0,Beesat-8 (Berlin Experimental and Educational Satellite-8),Success
2019-07-05,Soyuz-2.1b,Vostochny Cosmodrome,LEO,1.0,"Beesat-9 (Berlin Experimental and Educational Satellite-9, Tubsat-17)",Success
2012-04-28,Long March 3B,Xichang Satellite Launch Center,MEO,2200.0,Beidou 2-12 (Compass M3),Success
2012-04-28,Long March 3B,Xichang Satellite Launch Center,MEO,2200.0,Beidou 2-13 (Compass M4),Failure
2012-09-18,Long March 3B,Xichang Satellite Launch Center,MEO,3800.0,Beidou 2-15 (Compass M6),Success
2012-10-25,Long March 3C,Xichang Satellite Launch Center,GEO,3800.0,Beidou 2-16 (Compass G-6),Success
2016-03-30,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou 2-17 (IGSO-6),Success
2016-06-12,Long March 3C,Xichang Satellite Launch Center,GEO,3800.0,Beidou 2-18 (Compass G-7),Success
2015-03-30,Long March 3C,Xichang Satellite Launch Center,GEO,4200.0,Beidou 3I-1S,Success
2015-09-29,Long March 3B,Xichang Satellite Launch Center,GEO,4200.0,Beidou 3I-2S,Success
2015-07-25,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M-1S,Failure
2015-07-25,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M-2S,Success
2017-11-05,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M1 ,Success
2019-09-22,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M1 (Beidou 23),Success
2019-09-22,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M1 (Beidou 24),Success
2017-11-05,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou 3M1 (Beidou 25),Success
2018-01-11,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 26,Success
2018-01-11,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 27,Success
2018-02-12,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 28,Success
2018-02-12,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 29,Success
2018-03-29,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 30,Success
2018-03-29,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 31,Success
2018-07-09,Long March 3A,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 32,Success
2018-07-29,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 33,Success
2018-07-29,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 34,Success
2018-08-24,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 35,Failure
2018-08-24,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 36,Success
2018-09-19,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 37,Success
2018-09-19,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 38,Success
2018-10-15,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 39,Success
2018-10-15,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 40,Success
2018-11-01,Long March 3B,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 41,Success
2018-11-18,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 42,Success
2018-11-18,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 43,Success
2019-04-20,Long March 3B,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 44,Failure
2019-05-17,Long March 3C,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 45,Success
2019-06-24,Long March 3B,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 46,Success
2019-11-05,Long March 3B,Xichang Satellite Launch Center,GEO,4200.0,Beidou DW 49 ,Success
2019-11-23,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 50,Success
2019-11-23,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 51,Failure
2019-12-16,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 52,Success
2019-12-16,Long March 3B,Xichang Satellite Launch Center,MEO,800.0,Beidou DW 53,Success
2020-06-23,Long March 3B,Xichang Satellite Launch Center,GEO,800.0,Beidou DW 55,Failure
2020-03-09,Long March 3B,Xichang Satellite Launch Center,GEO,2200.0,Beidou G3 (Compass G-3),Success
2010-10-31,Long March 3C,Xichang Satellite Launch Center,GEO,6000.0,Beidou G4 (Compass G-4),Success
2012-02-24,Long March 3A,Xichang Satellite Launch Center,GEO,2300.0,Beidou G5 (Compass G-11),Success
2010-07-31,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou IGSO-1 (Compass G-5),Success
2010-12-17,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou IGSO-2 (Compass G-7),Success
2011-04-09,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou IGSO-3 (Compass G-8),Failure
2011-07-26,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou IGSO-4 (Compass G-9),Success
2011-12-01,Long March 3A,Xichang Satellite Launch Center,GEO,4200.0,Beidou IGSO-5 (Compass G-10),Success
2021-06-11,Long March 2D,Taiyuan Launch Center,LEO,,Beijing-3,Success
2005-10-27,Kosmos 3M,Plesetsk Cosmodrome,LEO,166.0,"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",Success
2023-01-15,Long March 2D,Taiyuan Launch Center,LEO,50.0,Beiyou-1,Success
2016-01-15,Long March 3B,Xichang Satellite Launch Center,GEO,5223.0,Belintersat-1,Failure
2001-10-22,PSLV C3,Satish Dhawan Space Centre,LEO,92.0,Bird 2 (Bispectral InfraRed Detector 2),Success
2023-01-03,Falcon 9,Cape Canaveral,LEO,10.0,Birkeland (MilSpace 2-1),Success
2016-06-22,PSLV XL,Satish Dhawan Space Centre,LEO,130.0,BIROS (Bispectral Infrared Optical System),Success
2015-10-08,Atlas 5,Cape Canaveral,LEO,1.0,BisonSat (Nwist Qwiqway),Success
2012-07-22,Soyuz-Fregat,Baikonur Cosmodrome,LEO,400.0,BKA 2 (BelKA 2),Success
2018-11-29,PSLV,Satish Dhawan Space Centre,LEO,56.0,BlackSky Global 1,Success
2021-11-18,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 14,Success
2021-11-18,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 15,Success
2021-12-09,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 16,Success
2021-12-09,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 17,Success
2022-04-02,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 18,Success
2023-03-24,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 19,Success
2018-12-03,Falcon 9,Vandenberg AFB,LEO,55.0,BlackSky Global 2,Success
2022-04-02,Electron,Rocket Lab Launch Complex 1,LEO,55.0,BlackSky Global 20,Success
2019-06-29,Electron,Rocket Lab Launch Complex 1,LEO,56.0,BlackSky Global 3,Success
2019-08-19,Electron,Rocket Lab Launch Complex 1,LEO,56.0,BlackSky Global 4,Success
2020-08-07,Falcon 9,Cape Canaveral,LEO,56.0,BlackSky Global 7,Success
2020-08-07,Falcon 9,Cape Canaveral,LEO,56.0,BlackSky Global 8,Success
2021-03-22,Electron,Rocket Lab Launch Complex 1,LEO,56.0,BlackSky Global 9,Success
2016-09-26,PSLV,Satish Dhawan Space Centre,LEO,44.0,BlackSky Pathfinder 1,Success
2017-08-16,Proton,Baikonur Cosmodrome,GEO,3000.0,Blagovest-11L (Cosmos 2520),Success
2018-04-18,Proton,Baikonur Cosmodrome,GEO,3000.0,Blagovest-12L (Cosmos 2526),Success
2018-12-20,Proton,Baikonur Cosmodrome,GEO,3000.0,Blagovest-13L (Cosmos 2533),Failure
2019-08-05,Proton,Baikonur Cosmodrome,GEO,3000.0,Blagovest-14L (Cosmos 2539),Failure
2019-04-01,PSLV,Satish Dhawan Space Centre,LEO,10.0,Bluewalker 1,Success
2022-09-11,Falcon 9,Cape Canaveral,LEO,1500.0,Bluewalker 3,Success
2000-08-17,Ariane 44LP,Guiana Space Center,GEO,2495.0,Brazilsat B-4 (Brasilsat B-4),Success
2021-06-30,LauncherOne,Virgin Orbit,LEO,10.0,Brik-II,Success
2018-12-03,Falcon 9,Vandenberg AFB,LEO,4.0,BRIO ,Success
2016-06-19,Ariane 5 ECA,Guiana Space Center,GEO,3540.0,BRISat,Success
2014-06-19,Dnepr,Dombarovsky Air Base,LEO,10.0,BRITE-CA-1 (BRITE Toronto),Success
2014-08-19,Long March 2B,Taiyuan Launch Center,LEO,10.0,"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",Success
2019-08-19,Electron,Rocket Lab Launch Complex 1,LEO,8.0,BRO-1,Success
2020-11-20,Electron,Rocket Lab Launch Complex 1,LEO,8.0,BRO-2,Success
2020-11-20,Electron,Rocket Lab Launch Complex 1,LEO,8.0,BRO-3,Success
2021-08-17,Vega,Guiana Space Center,LEO,8.0,BRO-4,Failure
2022-05-02,Electron,Rocket Lab Launch Complex 1,LEO,8.0,BRO-6,Success
2022-04-01,Falcon 9,Cape Canaveral,LEO,10.0,BRO-7,Success
2023-01-03,Falcon 9,Cape Canaveral,LEO,10.0,BRO-8,Success
2023-04-15,Falcon 9,Vandenberg AFB,LEO,10.0,BRO-9,Success
2023-04-15,Falcon 9,Vandeberg AFB,LEO,10.0,Brokkr-1 (OrbAstro-AF-1)  ,Success
2007-08-14,Ariane 5 ECA,Guiana Space Center,GEO,1980.0,BSAT-3A,Success
2010-10-28,Ariane 5 ECA,Guiana Space Center,GEO,2060.0,BSAT-3B,Success
2011-08-06,Ariane 5 ECA,Guiana Space Center,GEO,2910.0,BSAT-3C/JCSat 110-R,Success
2017-09-29,Ariane 5,Guiana Space Center,GEO,3520.0,BSAT-4A,Success
2020-08-15,Ariane 5,Guiana Space Center,GEO,3520.0,BSAT-4B,Success
